	SRA	newname
0	SRR6519510	smartseq_BladderTissue_bladder_cell_0
1	SRR6521461	smartseq_BladderTissue_bladder_urothelial_cell_1
2	SRR6519547	smartseq_BladderTissue_bladder_cell_2
3	SRR6519815	smartseq_BladderTissue_bladder_cell_3
4	SRR6520173	smartseq_BladderTissue_bladder_cell_4
5	SRR6520557	smartseq_BladderTissue_bladder_cell_5
6	SRR6520510	smartseq_BladderTissue_bladder_urothelial_cell_6
7	SRR6521481	smartseq_BladderTissue_bladder_urothelial_cell_7
8	SRR6519562	smartseq_BladderTissue_bladder_urothelial_cell_8
9	SRR6519825	smartseq_BladderTissue_bladder_cell_9
10	SRR6520184	smartseq_BladderTissue_bladder_cell_10
11	SRR6520574	smartseq_BladderTissue_bladder_urothelial_cell_11
12	SRR6520733	smartseq_BladderTissue_bladder_urothelial_cell_12
13	SRR6519564	smartseq_BladderTissue_bladder_urothelial_cell_13
14	SRR6519826	smartseq_BladderTissue_bladder_cell_14
15	SRR6520185	smartseq_BladderTissue_bladder_cell_15
16	SRR6520576	smartseq_BladderTissue_bladder_urothelial_cell_16
17	SRR6520955	smartseq_BladderTissue_bladder_urothelial_cell_17
18	SRR6519827	smartseq_BladderTissue_bladder_cell_18
19	SRR6520186	smartseq_BladderTissue_bladder_cell_19
20	SRR6520579	smartseq_BladderTissue_bladder_urothelial_cell_20
21	SRR6521177	smartseq_BladderTissue_bladder_cell_21
22	SRR6521488	smartseq_BladderTissue_bladder_urothelial_cell_22
23	SRR6519569	smartseq_BladderTissue_bladder_urothelial_cell_23
24	SRR6519828	smartseq_BladderTissue_bladder_cell_24
25	SRR6520187	smartseq_BladderTissue_bladder_cell_25
26	SRR6520581	smartseq_BladderTissue_bladder_urothelial_cell_26
27	SRR6521308	smartseq_BladderTissue_bladder_cell_27
28	SRR6519571	smartseq_BladderTissue_bladder_urothelial_cell_28
29	SRR6519829	smartseq_BladderTissue_bladder_cell_29
30	SRR6520188	smartseq_BladderTissue_bladder_cell_30
31	SRR6520583	smartseq_BladderTissue_bladder_urothelial_cell_31
32	SRR6519573	smartseq_BladderTissue_bladder_urothelial_cell_32
