	SRA	newname
108	SRR6520624	smartseq_BladderTissue_bladder_urothelial_cell_108
109	SRR6521564	smartseq_BladderTissue_bladder_urothelial_cell_109
110		smartseq_BladderTissue_bladder_cell_110
111		smartseq_BladderTissue_bladder_urothelial_cell_111
112	SRR6520626	smartseq_BladderTissue_bladder_urothelial_cell_112
113	SRR6521586	smartseq_BladderTissue_bladder_cell_113
114	SRR6519601	smartseq_BladderTissue_bladder_urothelial_cell_114
115		smartseq_BladderTissue_bladder_cell_115
116		smartseq_BladderTissue_bladder_cell_116
117	SRR6520628	smartseq_BladderTissue_bladder_urothelial_cell_117
118	SRR6521608	smartseq_BladderTissue_bladder_cell_118
119		smartseq_BladderTissue_bladder_cell_119
120		smartseq_BladderTissue_bladder_cell_120
121	SRR6521542	smartseq_BladderTissue_bladder_urothelial_cell_121
122		smartseq_BladderTissue_bladder_urothelial_cell_122
123		smartseq_BladderTissue_bladder_urothelial_cell_123
124	SRR6520630	smartseq_BladderTissue_bladder_urothelial_cell_124
125	SRR6521630	smartseq_BladderTissue_bladder_cell_125
126		smartseq_BladderTissue_bladder_urothelial_cell_126
127		smartseq_BladderTissue_bladder_urothelial_cell_127
128	SRR6520632	smartseq_BladderTissue_bladder_urothelial_cell_128
129	SRR6521546	smartseq_BladderTissue_bladder_urothelial_cell_129
130		smartseq_BladderTissue_bladder_urothelial_cell_130
131		smartseq_BladderTissue_bladder_urothelial_cell_131
132	SRR6520635	smartseq_BladderTissue_bladder_urothelial_cell_132
133	SRR6521548	smartseq_BladderTissue_bladder_urothelial_cell_133
134		smartseq_BladderTissue_bladder_urothelial_cell_134
135		smartseq_BladderTissue_bladder_urothelial_cell_135
136	SRR6520637	smartseq_BladderTissue_bladder_urothelial_cell_136
137		smartseq_BladderTissue_bladder_urothelial_cell_137
138		smartseq_BladderTissue_bladder_urothelial_cell_138
139	SRR6520639	smartseq_BladderTissue_bladder_urothelial_cell_139
140	SRR6521408	smartseq_BladderTissue_bladder_cell_140
141		smartseq_BladderTissue_bladder_cell_141
142		smartseq_BladderTissue_bladder_cell_142
143	SRR6520602	smartseq_BladderTissue_bladder_cell_143
144		smartseq_BladderTissue_bladder_urothelial_cell_144
145		smartseq_BladderTissue_bladder_urothelial_cell_145
146		smartseq_BladderTissue_bladder_urothelial_cell_146
147		smartseq_BladderTissue_bladder_urothelial_cell_147
148	SRR6520641	smartseq_BladderTissue_bladder_urothelial_cell_148
149		smartseq_BladderTissue_bladder_urothelial_cell_149
150		smartseq_BladderTissue_bladder_urothelial_cell_150
151	SRR6520643	smartseq_BladderTissue_bladder_urothelial_cell_151
152	SRR6521430	smartseq_BladderTissue_bladder_cell_152
153	SRR6521515	smartseq_BladderTissue_bladder_cell_153
154		smartseq_BladderTissue_bladder_cell_154
155		smartseq_BladderTissue_bladder_cell_155
156	SRR6520604	smartseq_BladderTissue_bladder_cell_156
157	SRR6521453	smartseq_BladderTissue_bladder_cell_157
158		smartseq_BladderTissue_bladder_cell_158
159		smartseq_BladderTissue_bladder_cell_159
160	SRR6520606	smartseq_BladderTissue_bladder_cell_160
161	SRR6521475	smartseq_BladderTissue_bladder_urothelial_cell_161
162	SRR6519587	smartseq_BladderTissue_bladder_cell_162
163		smartseq_BladderTissue_bladder_cell_163
164		smartseq_BladderTissue_bladder_cell_164
165	SRR6520608	smartseq_BladderTissue_bladder_cell_165
166		smartseq_BladderTissue_bladder_cell_166
167		smartseq_BladderTissue_bladder_cell_167
168	SRR6520611	smartseq_BladderTissue_bladder_cell_168
169	SRR6519590	smartseq_BladderTissue_bladder_cell_169
170		smartseq_BladderTissue_bladder_cell_170
171		smartseq_BladderTissue_bladder_cell_171
172	SRR6520613	smartseq_BladderTissue_bladder_cell_172
173	SRR6521497	smartseq_BladderTissue_bladder_urothelial_cell_173
174	SRR6519592	smartseq_BladderTissue_bladder_urothelial_cell_174
175		smartseq_BladderTissue_bladder_cell_175
176		smartseq_BladderTissue_bladder_cell_176
177	SRR6520615	smartseq_BladderTissue_bladder_urothelial_cell_177
178	SRR6521519	smartseq_BladderTissue_bladder_urothelial_cell_178
179	SRR6519594	smartseq_BladderTissue_bladder_urothelial_cell_179
180		smartseq_BladderTissue_bladder_cell_180
181		smartseq_BladderTissue_bladder_cell_181
182	SRR6520617	smartseq_BladderTissue_bladder_urothelial_cell_182
183	SRR6521652	smartseq_BladderTissue_bladder_cell_183
184	SRR6519605	smartseq_BladderTissue_bladder_cell_184
185		smartseq_BladderTissue_bladder_cell_185
186		smartseq_BladderTissue_bladder_cell_186
187	SRR6520646	smartseq_BladderTissue_bladder_cell_187
188	SRR6521830	smartseq_BladderTissue_bladder_urothelial_cell_188
189		smartseq_BladderTissue_bladder_cell_189
190		smartseq_BladderTissue_bladder_cell_190
191	SRR6520663	smartseq_BladderTissue_bladder_urothelial_cell_191
192		smartseq_BladderTissue_bladder_cell_192
